,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
2154,5.0,5.0,127.0,0.5,26990.0,22900.0,32.0,229.0,117.86026200873364,51.894608325371294,14.0,6.11353711790393,0.6477029246371757,4.0,86.5333333333333,22500.0,18500.0,24.0,185.0,121.62162162162164,19.21123090268896,19.0,10.27027027027027,0.312081226588987,3.0,88.33333333333326,0.28312767227819524,-0.12793010467956475,0.0,-0.12793010467956487,-0.3617707606401718,-0.4066875408122807,0.10979176295515784,-0.06411666712190507,-0.0025869086343893676,0.18481898392585616,0.43410621262628957,-0.07917745478237781
2155,5.0,5.0,127.0,0.54,20610.0,16400.0,32.0,164.0,125.67073170731706,59.58684457488548,10.0,6.097560975609756,0.6097560975609755,3.0,166.0,21510.0,13900.0,24.0,139.0,154.74820143884892,33.31031195689121,18.0,12.949640287769784,0.0,3.0,75.0,-0.3923975891783813,0.1406955637969083,0.0,0.14069556379690845,0.13187215624478651,0.013092639356247647,-0.1372397036939472,-0.0794004173694846,-0.042586275939257234,-0.08346663790199949,-0.6388327227624525,-0.9475674236506715
2158,5.0,5.0,128.0,0.54,20610.0,16300.0,32.0,163.0,126.44171779141104,61.94610530449945,10.0,6.134969325153374,0.6134969325153374,2.0,166.0,21510.0,14300.0,24.0,143.0,150.4195804195804,37.30216807232285,18.0,12.587412587412588,0.0,3.0,75.0,-0.3923975891783813,0.14482826638885407,0.0,0.14482826638885418,0.1806005726035223,0.1418420513629878,-0.1372397036939472,-0.04361331300654262,-0.03864309958182579,-0.35175225972985513,-0.6388327227624525,-0.9903795312087862
2161,5.0,5.0,129.0,0.54,20610.0,15900.0,32.0,159.0,129.62264150943398,64.1679960929014,10.0,6.289308176100629,0.6289308176100629,3.0,166.0,21510.0,13600.0,24.0,136.0,158.16176470588235,34.49060306325181,18.0,13.23529411764706,0.0,3.0,75.0,-0.3923975891783813,0.16135907675663702,0.0,0.16135907675663716,0.3816435985867335,0.2630949205177896,-0.1372397036939472,0.10403662700660184,-0.022374397126008624,-0.08346663790199949,-0.6388327227624525,-0.20281775103838995
2164,5.0,5.0,130.0,0.54,20610.0,16100.0,32.0,161.0,128.01242236024845,59.175729090656624,10.0,6.211180124223603,0.6211180124223603,3.0,166.0,21510.0,13600.0,24.0,136.0,158.16176470588235,34.01067164985651,18.0,13.23529411764706,0.0,3.0,75.0,-0.3923975891783813,0.15309367157274556,0.0,0.15309367157274567,0.27987337114802724,-0.009342726178782734,-0.1372397036939472,0.029294576627277094,-0.030609796195257614,-0.08346663790199949,-0.6388327227624525,-0.6765338849900253
2169,5.0,5.0,132.0,0.5,25450.0,21600.0,32.0,216.0,117.82407407407408,63.80134336027732,13.0,6.018518518518518,0.7746852097537738,3.0,86.5333333333333,22500.0,18000.0,24.0,180.0,125.0,23.74150764437212,19.0,10.555555555555555,0.320750149549792,3.0,88.33333333333326,0.12006985054729746,-0.07420497098427015,0.0,-0.0742049709842702,-0.3640579364837232,0.24308597316259867,0.04803389629288159,-0.15501724344007167,0.1312638360771725,-0.08346663790199949,0.43410621262628957,0.22560800891190508
2172,5.0,5.0,133.0,0.5,26140.0,21200.0,32.0,212.0,123.30188679245282,51.8547266898394,13.0,6.132075471698113,0.5378185967448764,4.0,130.83333333333326,22500.0,17600.0,24.0,176.0,127.84090909090908,23.51644863102698,19.0,10.795454545454543,0.3280399256759238,3.0,88.33333333333326,0.1931282252189335,-0.05767416061648718,0.0,-0.05767416061648723,-0.017845281828594847,-0.40886395864526787,0.04803389629288159,-0.046381749381789426,-0.11841486925904185,0.18481898392585616,-0.16402123919067194,-0.44489431410066904
2175,5.0,5.0,134.0,0.5,25450.0,21000.0,32.0,210.0,121.19047619047618,64.7550664553741,13.0,6.190476190476191,0.7968190728895957,3.0,86.5333333333333,22500.0,17400.0,24.0,174.0,129.31034482758622,24.130262279382062,19.0,10.919540229885058,0.3318104995342679,3.0,88.33333333333326,0.12006985054729746,-0.0494087554325957,0.0,-0.04940875543259575,-0.1512921715195714,0.2951324833976294,0.04803389629288159,0.009487933276756122,0.15459491774225045,-0.08346663790199949,0.43410621262628957,0.7278489735963423
2176,5.0,5.0,134.0,0.54,19540.0,14400.0,32.0,144.0,135.69444444444446,71.82124424224705,9.0,6.25,0.5810139073153302,3.0,145.33333333333326,21510.0,12900.0,24.0,129.0,166.74418604651163,43.94603639950181,18.0,13.953488372093023,0.0,3.0,75.0,-0.5056910107706285,0.22334961563582315,0.0,0.22334961563582328,0.7653980496324682,0.6807474448028661,-0.19899757035622345,0.06643203290950382,-0.07288312849226064,-0.08346663790199949,-0.3597965902368559,0.7384418208585166
2178,5.0,5.0,135.0,0.5,25450.0,20900.0,32.0,209.0,121.77033492822966,63.448382521276464,13.0,6.220095693779904,0.8006316043388283,3.0,86.5333333333333,22500.0,17300.0,24.0,173.0,130.0578034682081,19.826147607199808,19.0,10.982658959537572,0.3337284793003622,3.0,88.33333333333326,0.12006985054729746,-0.045276052840649963,0.0,-0.04527605284065,-0.11464352300899905,0.22382421887137124,0.04803389629288159,0.037823753189702276,0.15861366865106777,-0.08346663790199949,0.43410621262628957,0.7338093335863114
2181,5.0,5.0,136.0,0.5,25450.0,19900.0,32.0,199.0,127.8894472361809,69.89984546114808,13.0,6.532663316582915,0.8408643482754529,3.0,86.5333333333333,22500.0,17100.0,24.0,171.0,131.57894736842107,25.72206223019872,19.0,11.11111111111111,0.3376317363682023,3.0,88.33333333333326,0.12006985054729746,-0.003949026921192563,0.0,-0.00394902692119257,0.2721010090121104,0.5758930045149385,0.04803389629288159,0.33684496835144756,0.20102259783959178,-0.08346663790199949,0.43410621262628957,1.8967068474401725
2182,5.0,5.0,136.0,0.54,19540.0,14700.0,32.0,147.0,132.92517006802723,57.85717261719847,9.0,6.122448979591836,0.5691564806354256,3.0,145.33333333333326,21510.0,12400.0,24.0,124.0,173.46774193548387,43.66613529150004,18.0,14.516129032258066,0.0,3.0,75.0,-0.5056910107706285,0.21095150785998593,0.0,0.2109515078599861,0.5903723810638657,-0.08129889809505735,-0.19899757035622345,-0.05559103773209911,-0.08538192224140954,-0.08346663790199949,-0.3597965902368559,-0.35794827055043565
2184,5.0,5.0,137.0,0.5,25450.0,20300.0,32.0,203.0,125.36945812807885,70.40876535062438,13.0,6.403940886699508,0.8242955926444093,3.0,86.5333333333333,21510.0,16900.0,24.0,169.0,127.27810650887574,27.411593464576598,18.0,10.650887573964498,0.0,3.0,75.0,0.12006985054729746,-0.02047983728897552,0.0,-0.020479837288975546,0.1128308470566212,0.6036657452324642,0.04803389629288159,0.2137012560976455,0.18355763980924383,-0.08346663790199949,0.43410621262628957,1.5915391351824928
2190,5.0,5.0,139.0,0.5,23810.0,18900.0,32.0,189.0,125.97883597883596,60.98940817611485,12.0,6.349206349206349,0.7098628499999332,3.0,127.33333333333326,21510.0,15900.0,24.0,159.0,135.28301886792454,24.2605426639207,18.0,11.320754716981131,5.438959822042073e-16,3.0,75.0,-0.05357614142586641,0.037377998998264834,0.0,0.03737799899826486,0.15134518375360456,0.08963324239077719,-0.013723970369394678,0.16133886563074998,0.06293524111571507,-0.08346663790199949,-0.11676511997262755,0.27247666121748837
2194,5.0,5.0,140.0,0.54,19540.0,13300.0,32.0,133.0,146.91729323308272,73.99431342768806,9.0,6.7669172932330826,0.629067689123365,4.0,145.33333333333326,21510.0,11700.0,24.0,117.0,183.84615384615384,57.615362643452,18.0,15.384615384615383,0.0,3.0,75.0,-0.5056910107706285,0.2688093441472263,0.0,0.2688093441472265,1.474712601199964,0.7993360248455962,-0.19899757035622345,0.560946582351788,-0.02223012224570967,0.18481898392585616,-0.3597965902368559,2.47071758700824
2220,5.0,5.0,149.0,0.5,20610.0,16600.0,32.0,166.0,124.15662650602412,65.99701479088738,10.0,6.024096385542169,0.6024096385542168,2.0,166.0,21510.0,13400.0,24.0,134.0,160.52238805970148,35.92402290481393,18.0,13.432835820895525,0.0,3.0,75.0,-0.3923975891783813,0.13243015861301685,0.0,0.13243015861301696,0.03617659158847755,0.3629080013524622,-0.1372397036939472,-0.14968111629911743,-0.05033010420746563,-0.35175225972985513,-0.6388327227624525,-1.0562885857042457
2223,5.0,5.0,150.0,0.5,20610.0,16600.0,32.0,166.0,124.15662650602412,67.90868015870295,10.0,6.024096385542169,0.6024096385542168,2.0,166.0,21510.0,13800.0,24.0,138.0,155.8695652173913,32.28397630872888,18.0,13.043478260869565,0.0,3.0,75.0,-0.3923975891783813,0.13243015861301685,0.0,0.13243015861301696,0.03617659158847755,0.4672312704894754,-0.1372397036939472,-0.14968111629911743,-0.05033010420746563,-0.35175225972985513,-0.6388327227624525,-0.9519653165672324
2241,5.0,5.0,156.0,0.5,19540.0,14900.0,32.0,149.0,131.14093959731542,71.2981282822179,9.0,6.04026845637584,0.5615167963315942,3.0,145.33333333333326,21510.0,12400.0,24.0,124.0,173.46774193548387,38.98638517601075,18.0,14.516129032258066,0.0,3.0,75.0,-0.5056910107706285,0.20268610267609444,0.0,0.20268610267609458,0.47760416507335446,0.6521999971131339,-0.19899757035622345,-0.13420992888373398,-0.09343483633482108,-0.08346663790199949,-0.3597965902368559,0.159579793054415
