,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
96,1.0,5.0,100.0,150480.0,166000.0,401.0,1660.0,90.65060240963857,12.891566265060241,214.0,0.52
101,1.0,5.0,101.0,149900.0,163700.0,401.0,1637.0,91.56994502138058,13.072693952351862,214.0,0.52
106,1.0,5.0,102.0,143630.0,157100.0,401.0,1571.0,91.4258434118396,13.239974538510502,208.0,0.52
111,1.0,5.0,103.0,144490.0,153100.0,401.0,1531.0,94.37622468974527,13.585891574134553,208.0,0.52
116,1.0,5.0,104.0,136700.0,147900.0,401.0,1479.0,92.42731575388777,13.45503718728871,199.0,0.52
121,1.0,5.0,105.0,136380.0,144700.0,401.0,1447.0,94.25017277125086,13.683483068417415,198.0,0.52
126,1.0,5.0,106.0,134730.0,142900.0,401.0,1429.0,94.28271518544436,13.785864240727783,197.0,0.52
131,1.0,5.0,107.0,132150.0,138400.0,401.0,1384.0,95.48410404624278,13.94508670520231,193.0,0.52
136,1.0,5.0,108.0,123780.0,134500.0,401.0,1345.0,92.02973977695167,13.680297397769516,184.0,0.52
141,1.0,5.0,109.0,122660.0,131200.0,401.0,1312.0,93.4908536585366,13.871951219512196,182.0,0.52
146,1.0,5.0,110.0,121810.0,129300.0,401.0,1293.0,94.20726991492653,13.921113689095128,180.0,0.52
151,1.0,5.0,111.0,117880.0,127100.0,401.0,1271.0,92.74586939417782,13.926042486231314,177.0,0.52
156,1.0,5.0,112.0,118430.0,123800.0,401.0,1238.0,95.66235864297253,14.216478190630049,176.0,0.52
161,1.0,5.0,113.0,115350.0,119700.0,401.0,1197.0,96.36591478696742,14.452798663324979,173.0,0.52
166,1.0,5.0,114.0,115470.0,120400.0,401.0,1204.0,95.90531561461793,14.368770764119601,173.0,0.52
171,1.0,5.0,115.0,110260.0,117100.0,401.0,1171.0,94.15883859948761,14.26131511528608,167.0,0.52
176,1.0,5.0,116.0,110080.0,114000.0,401.0,1140.0,96.56140350877193,14.473684210526317,165.0,0.52
181,1.0,5.0,117.0,106270.0,113400.0,401.0,1134.0,93.71252204585538,14.37389770723104,163.0,0.52
186,1.0,5.0,118.0,104580.0,108100.0,401.0,1081.0,96.74375578168363,14.893617021276595,161.0,0.52
191,1.0,5.0,119.0,98450.0,106700.0,401.0,1067.0,92.26804123711341,14.245548266166825,152.0,0.52
196,1.0,5.0,120.0,99830.0,106800.0,401.0,1068.0,93.47378277153558,14.325842696629213,153.0,0.52
201,1.0,5.0,121.0,95670.0,101300.0,401.0,1013.0,94.44225074037512,14.511352418558737,147.0,0.52
206,1.0,5.0,122.0,92940.0,99500.0,401.0,995.0,93.4070351758794,14.673366834170853,146.0,0.52
211,1.0,5.0,123.0,89610.0,99400.0,401.0,994.0,90.15090543259558,13.98390342052314,139.0,0.52
216,1.0,5.0,124.0,90690.0,97300.0,401.0,973.0,93.2065775950668,14.59403905447071,142.0,0.52
221,1.0,5.0,125.0,89040.0,93100.0,401.0,931.0,95.6390977443609,14.930182599355533,139.0,0.52
226,1.0,5.0,126.0,86100.0,92500.0,401.0,925.0,93.08108108108108,14.594594594594595,135.0,0.52
231,1.0,5.0,127.0,83680.0,90700.0,401.0,907.0,92.26019845644984,14.44321940463065,131.0,0.52
236,1.0,5.0,128.0,82030.0,87900.0,401.0,879.0,93.32195676905575,14.675767918088736,129.0,0.52
241,1.0,5.0,129.0,83090.0,87200.0,401.0,872.0,95.28669724770641,14.908256880733944,130.0,0.52
246,1.0,5.0,130.0,77390.0,81700.0,401.0,817.0,94.72460220318237,15.299877600979192,125.0,0.52
251,1.0,5.0,131.0,75690.0,82200.0,401.0,822.0,92.08029197080292,15.085158150851582,124.0,0.52
256,1.0,5.0,132.0,72370.0,77700.0,401.0,777.0,93.14028314028315,15.186615186615187,118.0,0.52
261,1.0,5.0,133.0,70780.0,79100.0,401.0,791.0,89.48166877370417,14.791403286978507,117.0,0.52
266,1.0,5.0,134.0,63610.0,72000.0,401.0,720.0,88.34722222222223,15.138888888888888,109.0,0.52
271,1.0,5.0,135.0,68300.0,72900.0,401.0,729.0,93.68998628257887,15.500685871056241,113.0,0.52
276,1.0,5.0,136.0,70340.0,70600.0,401.0,706.0,99.63172804532577,16.147308781869686,114.0,0.52
281,1.0,5.0,137.0,60240.0,67500.0,401.0,675.0,89.24444444444445,15.555555555555555,105.0,0.52
286,1.0,5.0,138.0,63570.0,67000.0,401.0,670.0,94.88059701492537,15.970149253731345,107.0,0.52
291,1.0,5.0,139.0,56310.0,66000.0,401.0,660.0,85.31818181818181,15.151515151515152,100.0,0.52
296,1.0,5.0,140.0,53590.0,61400.0,401.0,614.0,87.2801302931596,15.63517915309446,96.0,0.52
301,1.0,5.0,141.0,54760.0,60400.0,401.0,604.0,90.66225165562913,16.225165562913908,98.0,0.52
306,1.0,5.0,142.0,50990.0,59600.0,401.0,596.0,85.5536912751678,15.268456375838927,91.0,0.52
311,1.0,5.0,143.0,50430.0,58200.0,401.0,582.0,86.64948453608248,15.979381443298967,93.0,0.52
316,1.0,5.0,144.0,49820.0,57600.0,401.0,576.0,86.49305555555556,15.972222222222221,92.0,0.52
321,1.0,5.0,145.0,46070.0,53500.0,401.0,535.0,86.11214953271028,16.074766355140188,86.0,0.52
326,1.0,5.0,146.0,43540.0,54600.0,401.0,546.0,79.74358974358975,15.2014652014652,83.0,0.52
331,1.0,5.0,147.0,43930.0,52000.0,401.0,520.0,84.48076923076923,15.96153846153846,83.0,0.52
336,1.0,5.0,148.0,39300.0,50700.0,401.0,507.0,77.51479289940828,15.187376725838265,77.0,0.52
341,1.0,5.0,149.0,38660.0,48500.0,401.0,485.0,79.71134020618557,15.670103092783505,76.0,0.52
346,1.0,5.0,150.0,36550.0,47600.0,401.0,476.0,76.78571428571429,15.126050420168067,72.0,0.52
351,1.0,5.0,151.0,36350.0,46200.0,401.0,462.0,78.67965367965368,15.367965367965366,71.0,0.52
356,1.0,5.0,152.0,33910.0,43100.0,401.0,431.0,78.67749419953596,15.54524361948956,67.0,0.52
2,1.0,5.0,81.0,208010.0,216100.0,401.0,2161.0,96.25636279500232,12.447940768162887,269.0,0.54
7,1.0,5.0,82.0,188350.0,210800.0,401.0,2108.0,89.35009487666035,12.04933586337761,254.0,0.54
12,1.0,5.0,83.0,188740.0,206800.0,401.0,2068.0,91.26692456479691,12.282398452611218,254.0,0.54
17,1.0,5.0,84.0,184160.0,200000.0,401.0,2000.0,92.08,12.45,249.0,0.54
22,1.0,5.0,85.0,175170.0,197800.0,401.0,1978.0,88.55915065722952,12.1840242669363,241.0,0.54
27,1.0,5.0,86.0,175640.0,195600.0,401.0,1956.0,89.79550102249489,12.372188139059306,242.0,0.54
32,1.0,5.0,87.0,169400.0,187600.0,401.0,1876.0,90.29850746268657,12.526652452025585,235.0,0.54
37,1.0,5.0,88.0,168140.0,184500.0,401.0,1845.0,91.13279132791328,12.737127371273713,235.0,0.54
42,1.0,5.0,89.0,162240.0,179200.0,401.0,1792.0,90.53571428571429,12.723214285714285,228.0,0.54
47,1.0,5.0,90.0,155760.0,174100.0,401.0,1741.0,89.46582423894314,12.808730614589317,223.0,0.54
52,1.0,5.0,91.0,156240.0,170400.0,401.0,1704.0,91.69014084507042,13.028169014084506,222.0,0.54
57,1.0,5.0,92.0,153450.0,170000.0,401.0,1700.0,90.26470588235294,13.0,221.0,0.54
62,1.0,5.0,93.0,150460.0,159400.0,401.0,1594.0,94.39146800501882,13.362609786700125,213.0,0.54
67,1.0,5.0,94.0,149190.0,157500.0,401.0,1575.0,94.72380952380952,13.396825396825395,211.0,0.54
72,1.0,5.0,95.0,140300.0,152200.0,401.0,1522.0,92.18134034165571,13.337713534822601,203.0,0.54
77,1.0,5.0,96.0,137870.0,148800.0,401.0,1488.0,92.65456989247312,13.440860215053762,200.0,0.54
82,1.0,5.0,97.0,135110.0,143000.0,401.0,1430.0,94.48251748251748,13.706293706293707,196.0,0.54
87,1.0,5.0,98.0,131950.0,140100.0,401.0,1401.0,94.18272662384013,13.77587437544611,193.0,0.54
