racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3563,4,1,47,0.480,0.18
3564,2,1,46,0.317,0.15
3565,2,1,46,0.153,0.19
3566,2,1,46,0.295,0.19
3567,2,1,46,0.207,0.18
3568,4,1,45,0.478,0.16
3569,2,1,45,0.185,0.23
3571,2,1,45,0.247,0.16
3572,4,1,45,0.542,0.18
3573,4,1,44,0.654,0.16
3574,1,1,44,0.360,0.17
3575,2,1,44,0.200,0.16
3576,3,1,44,0.520,0.17
3577,3,1,44,0.439,0.14
3578,4,1,44,0.487,0.16
3579,4,0,44,0.478,0.15
3580,4,0,43,0.442,0.18
3581,2,1,43,0.257,0.19
3582,3,1,43,0.473,0.17
3583,2,1,43,0.205,0.17
3584,4,1,43,0.488,0.18
3585,2,1,43,0.256,0.20
3587,2,1,43,0.322,0.15
3588,2,1,43,0.259,0.18
3589,4,1,43,0.463,0.16
3590,4,1,43,0.413,0.14
3591,2,1,48,0.339,0.17
3592,2,1,48,0.301,0.18
3593,2,1,48,0.169,0.19
3594,2,1,48,0.130,0.17
3596,2,1,47,0.252,0.17
3600,2,1,46,0.305,0.22
3601,2,1,46,0.132,0.20
3602,3,1,46,0.369,0.17
3604,2,0,46,0.237,0.17
3605,3,1,45,0.400,0.18
3606,4,1,45,0.538,0.15
3607,2,1,44,0.315,0.19
3608,2,1,44,0.132,0.19
3609,2,1,44,0.227,0.16
3611,4,0,44,0.527,0.14
3612,4,1,44,0.457,0.16
3613,4,1,44,0.500,0.16
3614,2,1,43,0.255,0.18
3615,3,1,43,0.370,0.15
3616,2,1,43,0.247,0.19
3617,2,1,43,0.202,0.20
3618,4,0,43,0.536,0.17
3619,3,1,43,0.343,0.20
3620,2,1,42,0.166,0.19
3621,4,1,42,0.489,0.16
3622,4,1,42,0.387,0.17
3623,4,1,42,0.503,0.16
3624,2,1,47,0.237,0.19
3626,2,1,47,0.177,0.15
3627,3,1,47,0.358,0.19
3628,2,1,47,0.171,0.18
3629,4,1,47,0.450,0.15
3630,2,1,47,0.222,0.20
3631,3,1,47,0.409,0.18
3632,2,1,46,0.203,0.18
3633,2,1,46,0.213,0.18
3635,4,1,46,0.503,0.16
3636,2,1,46,0.222,0.18
3637,2,1,46,0.204,0.19
3641,4,1,45,0.439,0.18
3642,2,1,45,0.180,0.20
3643,2,1,44,0.300,0.19
3644,2,1,44,0.135,0.20
3645,4,0,44,0.526,0.14
3647,3,1,44,0.326,0.16
3648,2,1,43,0.198,0.17
3650,2,0,43,0.205,0.17
3652,2,1,43,0.194,0.19
3653,3,1,43,0.347,0.19
3654,3,1,43,0.400,0.18
3655,3,1,43,0.413,0.18
3656,4,1,43,0.488,0.16
3658,2,1,42,0.191,0.18
3659,3,1,42,0.377,0.17
3660,2,1,47,0.159,0.17
3661,3,1,47,0.330,0.19
3662,3,1,47,0.458,0.16
3663,2,1,46,0.339,0.17
3664,4,1,46,0.476,0.16
3666,2,1,46,0.255,0.17
3667,1,1,45,0.050,0.18
3668,2,1,45,0.169,0.23
3670,2,1,45,0.296,0.18
3673,2,1,44,0.211,0.22
3674,3,0,44,0.405,0.17
3678,2,1,43,0.211,0.18
3679,4,1,43,0.466,0.16
3680,3,1,43,0.375,0.20
3681,3,1,43,0.378,0.16
3682,2,1,43,0.172,0.19
