,racer_1_rank,racer_1_age,racer_1_doub,racer_1_ave_st,racer_2_rank,racer_2_age,racer_2_doub,racer_2_ave_st,racer_3_rank,racer_3_age,racer_3_doub,racer_3_ave_st,racer_4_rank,racer_4_age,racer_4_doub,racer_4_ave_st,racer_5_rank,racer_5_age,racer_5_doub,racer_5_ave_st,racer_6_rank,racer_6_age,racer_6_doub,racer_6_ave_st,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,racer_1_male_0,racer_1_male_1,racer_2_male_0,racer_2_male_1,racer_3_male_0,racer_3_male_1,racer_4_male_0,racer_4_male_1,racer_5_male_0,racer_5_male_1,racer_6_male_0,racer_6_male_1
12128,4,28.0,0.534,0.13,2,24.0,0.362,0.16,3,29.0,0.404,0.17,3,54.0,0.377,0.15,2,58.0,0.135,0.17,3,55.0,0.407,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12129,4,29.0,0.571,0.15,2,27.0,0.258,0.17,2,24.0,0.362,0.16,2,52.0,0.381,0.17,2,50.0,0.162,0.23,2,52.0,0.216,0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12130,3,29.0,0.451,0.16,3,30.0,0.388,0.17,3,29.0,0.407,0.14,2,50.0,0.234,0.16,3,55.0,0.407,0.15,2,50.0,0.145,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12131,4,30.0,0.512,0.16,3,28.0,0.409,0.18,2,28.0,0.196,0.21,4,50.0,0.647,0.15,1,58.0,0.265,0.17,3,49.0,0.441,0.18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12132,4,29.0,0.576,0.15,2,27.0,0.273,0.17,4,28.0,0.534,0.13,2,51.0,0.356,0.16,3,50.0,0.373,0.19,3,56.0,0.377,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12133,2,28.0,0.196,0.21,2,52.0,0.341,0.17,2,27.0,0.258,0.17,2,50.0,0.145,0.17,2,62.0,0.208,0.18,1,22.0,0.09,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12134,2,52.0,0.216,0.19,2,55.0,0.157,0.19,2,63.0,0.204,0.19,2,28.0,0.236,0.18,3,29.0,0.35,0.15,2,23.0,0.273,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12135,3,56.0,0.377,0.18,3,29.0,0.404,0.17,1,58.0,0.265,0.17,2,68.0,0.243,0.18,2,27.0,0.273,0.17,3,29.0,0.451,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12136,2,55.0,0.241,0.18,4,30.0,0.512,0.16,3,50.0,0.373,0.19,2,62.0,0.208,0.18,4,29.0,0.451,0.16,2,26.0,0.29,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12137,3,29.0,0.407,0.14,2,58.0,0.135,0.17,3,54.0,0.377,0.15,2,52.0,0.216,0.19,2,28.0,0.196,0.21,3,28.0,0.409,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12138,3,30.0,0.388,0.17,3,29.0,0.35,0.15,4,29.0,0.576,0.15,2,52.0,0.345,0.16,3,49.0,0.441,0.18,1,58.0,0.265,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12139,2,56.0,0.217,0.19,1,55.0,0.17,0.24,3,29.0,0.451,0.16,2,27.0,0.258,0.17,2,26.0,0.29,0.2,2,50.0,0.234,0.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12140,2,51.0,0.356,0.16,2,52.0,0.381,0.17,3,28.0,0.369,0.16,3,29.0,0.407,0.14,3,56.0,0.377,0.18,4,30.0,0.512,0.16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12141,3,29.0,0.404,0.17,3,49.0,0.441,0.18,3,29.0,0.436,0.17,1,29.0,0.102,0.18,2,63.0,0.204,0.19,3,54.0,0.377,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12142,4,50.0,0.647,0.15,3,50.0,0.373,0.19,3,30.0,0.388,0.17,2,52.0,0.341,0.17,4,28.0,0.534,0.13,4,29.0,0.571,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12143,4,29.0,0.451,0.16,2,23.0,0.273,0.17,3,28.0,0.409,0.18,3,55.0,0.407,0.15,2,50.0,0.234,0.16,2,68.0,0.243,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12144,2,27.0,0.258,0.17,2,58.0,0.135,0.17,3,29.0,0.35,0.15,2,55.0,0.241,0.18,1,55.0,0.17,0.24,2,52.0,0.345,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12145,2,24.0,0.362,0.16,2,50.0,0.145,0.17,2,28.0,0.236,0.18,3,56.0,0.377,0.18,3,28.0,0.409,0.18,4,29.0,0.571,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12146,2,27.0,0.273,0.17,2,28.0,0.196,0.21,3,29.0,0.436,0.17,2,51.0,0.356,0.16,2,52.0,0.216,0.19,2,26.0,0.29,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12147,2,50.0,0.162,0.23,2,50.0,0.234,0.16,2,23.0,0.273,0.17,2,55.0,0.157,0.19,4,28.0,0.534,0.13,1,22.0,0.09,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12148,2,58.0,0.135,0.17,3,29.0,0.407,0.14,2,56.0,0.217,0.19,3,50.0,0.373,0.19,1,29.0,0.102,0.18,2,63.0,0.204,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12149,1,55.0,0.17,0.24,4,29.0,0.571,0.15,2,52.0,0.341,0.17,2,52.0,0.216,0.19,2,28.0,0.196,0.21,3,28.0,0.369,0.16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12150,2,68.0,0.243,0.18,4,28.0,0.534,0.13,2,55.0,0.157,0.19,3,28.0,0.409,0.18,2,50.0,0.145,0.17,2,62.0,0.208,0.18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12151,2,50.0,0.234,0.16,3,50.0,0.373,0.19,2,50.0,0.162,0.23,2,56.0,0.217,0.19,2,51.0,0.356,0.16,3,56.0,0.377,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12152,4,29.0,0.576,0.15,3,29.0,0.451,0.16,4,30.0,0.512,0.16,4,29.0,0.451,0.16,3,30.0,0.388,0.17,3,29.0,0.404,0.17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
12153,3,54.0,0.377,0.15,2,52.0,0.381,0.17,1,58.0,0.265,0.17,3,49.0,0.441,0.18,4,50.0,0.647,0.15,3,55.0,0.407,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12154,2,63.0,0.204,0.19,2,55.0,0.157,0.19,2,58.0,0.135,0.17,2,62.0,0.208,0.18,3,29.0,0.35,0.15,2,28.0,0.236,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
