,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
71,0.0,0.0,0.0,0.0,0.0,116,2020-04-15,2020,4,15,2,6,sp,0,0,87320.0
72,0.0,0.0,0.0,0.0,0.0,43,2020-04-15,2020,4,15,2,6,sp,0,0,1770.0
73,0.0,0.0,0.0,0.0,0.0,105,2020-04-15,2020,4,15,2,6,sp,0,0,14770.0
74,0.0,0.0,0.0,0.0,0.0,62,2020-04-15,2020,4,15,2,6,sp,0,0,2400.0
75,0.0,0.0,0.0,0.0,0.0,9,2020-04-15,2020,4,15,2,6,sp,0,0,1830.0
76,1.0,1.0,0.0,0.0,0.0,75,2020-04-15,2020,4,15,2,6,sp,0,2,18380.0
77,0.0,1.0,0.0,0.0,0.0,1,2020-04-15,2020,4,15,2,6,sp,0,1,550.0
78,0.0,1.0,1.0,0.0,0.0,16,2020-04-16,2020,4,16,3,6,sp,0,2,6530.0
79,0.0,0.0,0.0,0.0,0.0,27,2020-04-16,2020,4,16,3,6,sp,0,0,1090.0
80,0.0,0.0,0.0,0.0,0.0,67,2020-04-16,2020,4,16,3,6,sp,0,0,2830.0
81,0.0,0.0,0.0,0.0,0.0,63,2020-04-16,2020,4,16,3,6,sp,0,0,5150.0
82,0.0,0.0,0.0,0.0,0.0,9,2020-04-16,2020,4,16,3,6,sp,0,0,1090.0
83,0.0,0.0,0.0,0.0,0.0,70,2020-04-16,2020,4,16,3,6,sp,0,0,25560.0
84,0.0,0.0,0.0,0.0,0.0,67,2020-04-16,2020,4,16,3,6,sp,0,0,10190.0
85,0.0,0.0,0.0,0.0,0.0,57,2020-04-16,2020,4,16,3,6,sp,0,0,15370.0
86,0.0,0.0,0.0,0.0,0.0,6,2020-04-16,2020,4,16,3,6,sp,0,0,360.0
87,0.0,0.0,0.0,0.0,0.0,11,2020-04-16,2020,4,16,3,6,sp,0,0,6980.0
88,0.0,0.0,0.0,0.0,0.0,13,2020-04-16,2020,4,16,3,6,sp,0,0,6450.0
89,0.0,0.0,0.0,0.0,0.0,10,2020-04-16,2020,4,16,3,6,sp,0,0,990.0
90,0.0,0.0,0.0,0.0,0.0,42,2020-04-17,2020,4,17,4,6,sp,0,0,3450.0
91,0.0,0.0,0.0,0.0,0.0,52,2020-04-17,2020,4,17,4,6,sp,0,0,1750.0
92,0.0,0.0,0.0,0.0,0.0,27,2020-04-17,2020,4,17,4,6,sp,0,0,1940.0
93,0.0,0.0,0.0,0.0,0.0,33,2020-04-17,2020,4,17,4,6,sp,0,0,18470.0
94,0.0,0.0,0.0,0.0,0.0,6,2020-04-17,2020,4,17,4,6,sp,0,0,850.0
95,0.0,0.0,0.0,0.0,0.0,24,2020-04-17,2020,4,17,4,6,sp,0,0,10800.0
96,0.0,0.0,0.0,0.0,0.0,7,2020-04-17,2020,4,17,4,6,sp,0,0,5550.0
97,0.0,0.0,0.0,0.0,0.0,79,2020-04-17,2020,4,17,4,6,sp,0,0,19460.0
98,0.0,0.0,0.0,0.0,0.0,21,2020-04-17,2020,4,17,4,6,sp,0,0,13810.0
99,0.0,0.0,1.0,0.0,0.0,91,2020-04-17,2020,4,17,4,6,sp,0,1,25420.0
100,0.0,1.0,0.0,0.0,0.0,7,2020-04-17,2020,4,17,4,6,sp,0,1,760.0
101,0.0,0.0,0.0,0.0,0.0,41,2020-04-17,2020,4,17,4,6,sp,0,0,7330.0
102,0.0,0.0,0.0,0.0,0.0,9,2020-04-18,2020,4,18,5,6,sp,0,0,890.0
103,0.0,0.0,0.0,0.0,0.0,67,2020-04-18,2020,4,18,5,6,sp,0,0,8700.0
104,0.0,0.0,0.0,0.0,0.0,68,2020-04-18,2020,4,18,5,6,sp,0,0,7770.0
105,0.0,0.0,0.0,0.0,0.0,35,2020-04-18,2020,4,18,5,6,sp,0,0,12690.0
106,0.0,0.0,0.0,0.0,0.0,1,2020-04-18,2020,4,18,5,6,sp,0,0,2540.0
107,0.0,0.0,0.0,0.0,0.0,6,2020-04-18,2020,4,18,5,6,sp,0,0,900.0
108,0.0,0.0,0.0,0.0,0.0,105,2020-04-18,2020,4,18,5,6,sp,0,0,5240.0
109,0.0,0.0,0.0,0.0,0.0,61,2020-04-18,2020,4,18,5,6,sp,0,0,2040.0
110,0.0,0.0,0.0,0.0,0.0,2,2020-04-18,2020,4,18,5,6,sp,0,0,1250.0
111,0.0,0.0,0.0,0.0,0.0,2,2020-04-18,2020,4,18,5,6,sp,0,0,880.0
112,0.0,0.0,0.0,0.0,0.0,1,2020-04-18,2020,4,18,5,6,sp,0,0,670.0
113,0.0,0.0,0.0,0.0,0.0,19,2020-04-18,2020,4,18,5,6,sp,0,0,28090.0
114,0.0,0.0,0.0,0.0,0.0,9,2020-04-19,2020,4,19,6,6,sp,0,0,3360.0
115,0.0,0.0,0.0,0.0,0.0,67,2020-04-19,2020,4,19,6,6,sp,0,0,27150.0
116,0.0,0.0,0.0,0.0,0.0,16,2020-04-19,2020,4,19,6,6,sp,0,0,4900.0
117,0.0,0.0,0.0,0.0,0.0,1,2020-04-19,2020,4,19,6,6,sp,0,0,1270.0
