,target_com,depth,target_per,total_get_test1,total_use_test1,num_com_test1,num_pred_test1,gain_test1,gain_std_test1,num_hit_test1,buy_hit_per_test1,buy_hit_per_std_test1,plus_month_num_test1,diff_mea_med_test1,total_get_test2,total_use_test2,num_com_test2,num_pred_test2,gain_test2,gain_std_test2,num_hit_test2,buy_hit_per_test2,buy_hit_per_std_test2,plus_month_num_test2,diff_mea_med_test2,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
605,4.0,7.0,98.0,1945040.0,2373300.0,70.0,1147.0,81.95508363881515,33.40979886309603,55.0,4.795117698343505,0.1597171233689151,5.0,3974.8888888888905,1322760.0,2168600.0,54.0,1075.0,60.996034307848376,46.90805257416779,36.0,3.3488372093023258,0.09715962192876157,3.0,5760.138888888887,1696400.0,2378000.0,60.0,1161.0,71.33725820016821,53.568068441073784,41.0,3.5314384151593456,0.18163513677461407,2.0,4631.103174603166
606,4.0,7.0,99.0,2143830.0,2513900.0,70.0,1147.0,85.27904849039342,34.09066110296708,55.0,4.795117698343505,0.1597171233689151,5.0,3657.1210317460354,1351630.0,2237200.0,54.0,1075.0,60.41614518147684,52.20715584214871,36.0,3.3488372093023258,0.10494438601260767,2.0,6353.125,1840930.0,2486500.0,60.0,1161.0,74.03699979891414,56.10138059289766,41.0,3.5314384151593456,0.18163513677461407,4.0,4883.0535714285725
607,4.0,7.0,100.0,2096180.0,2441500.0,70.0,1147.0,85.85623592054064,37.03184614258449,55.0,4.795117698343505,0.1597171233689151,5.0,4076.1031746031804,1274260.0,2179000.0,54.0,1075.0,58.47911886186324,53.29458180025137,36.0,3.3488372093023258,0.0886941943484272,2.0,5319.236111111113,1702320.0,2437500.0,60.0,1161.0,69.83876923076923,53.840219694134774,42.0,3.6175710594315245,0.17804114009712746,3.0,4791.244047619046
608,4.0,7.0,101.0,2176930.0,2534400.0,70.0,1147.0,85.89528093434343,35.00276957783755,55.0,4.795117698343505,0.1597171233689151,5.0,4039.210317460318,1337400.0,2214900.0,54.0,1075.0,60.38195855343357,57.680634554674576,33.0,3.0697674418604652,0.13811824922673213,3.0,4870.194444444442,1840130.0,2541100.0,60.0,1161.0,72.41470229428201,53.11615738980121,41.0,3.5314384151593456,0.18163513677461407,5.0,4701.563492063491
609,4.0,7.0,102.0,2053550.0,2415900.0,70.0,1147.0,85.00144873546091,29.906010165027727,55.0,4.795117698343505,0.1597171233689151,5.0,3118.4861111111095,1265910.0,2171700.0,54.0,1075.0,58.291200442050005,52.83204935461515,34.0,3.1627906976744184,0.12438286947377143,2.0,7477.902777777777,1733050.0,2401800.0,60.0,1161.0,72.1562994420851,56.376341502076976,42.0,3.6175710594315245,0.17029647773026033,3.0,8911.742063492064
610,4.0,7.0,103.0,2034790.0,2400200.0,70.0,1147.0,84.77585201233231,33.488180445724375,54.0,4.707933740191804,0.15551570793650302,5.0,3910.210317460318,1332860.0,2186300.0,54.0,1075.0,60.964186067785754,53.75206760049613,35.0,3.255813953488372,0.14000390986278013,3.0,6159.152777777785,1678820.0,2404900.0,60.0,1161.0,69.80830803775625,51.229866347938064,39.0,3.359173126614987,0.1766148863619131,3.0,6072.218253968254
611,4.0,7.0,104.0,2173440.0,2439000.0,70.0,1147.0,89.1119311193112,34.02085503549051,55.0,4.795117698343505,0.1597171233689151,5.0,4419.994047619053,1315210.0,2175000.0,54.0,1075.0,60.46942528735633,51.63655857654885,34.0,3.1627906976744184,0.11788878740705559,2.0,6018.3611111111095,1741240.0,2445400.0,60.0,1161.0,71.20471088574466,54.08184596907316,40.0,3.4453057708871664,0.17740866513158907,5.0,6103.718253968247
612,4.0,7.0,105.0,2109570.0,2500100.0,70.0,1147.0,84.37942482300707,36.47109115259688,54.0,4.707933740191804,0.15100704512370333,5.0,5070.4186507936465,1311340.0,2192300.0,54.0,1075.0,59.81571865164439,50.67361006539081,34.0,3.1627906976744184,0.12438286947377145,3.0,7744.125,1745720.0,2459900.0,60.0,1161.0,70.96711248424732,56.71876446265293,39.0,3.359173126614987,0.18772174606118322,4.0,6811.446428571435
613,4.0,7.0,106.0,2151650.0,2518600.0,70.0,1147.0,85.43039784006989,36.84227358898017,55.0,4.795117698343505,0.1597171233689151,5.0,4777.988095238092,1363130.0,2258000.0,54.0,1075.0,60.368910540301144,49.30994432629231,35.0,3.255813953488372,0.12198810888851223,3.0,3987.4305555555547,1885310.0,2523800.0,60.0,1161.0,74.70124415563832,52.56222620265114,40.0,3.4453057708871664,0.17740866513158907,4.0,5070.275793650784
614,4.0,7.0,107.0,2097830.0,2486100.0,70.0,1147.0,84.38236595470818,35.71118828328664,54.0,4.707933740191804,0.15100704512370333,5.0,6281.527777777777,1259060.0,2162600.0,54.0,1075.0,58.219735503560536,51.81673369659027,36.0,3.3488372093023258,0.137404455046697,3.0,6061.263888888898,1710240.0,2412500.0,60.0,1161.0,70.89077720207254,56.03353959199633,40.0,3.4453057708871664,0.17356542237409026,3.0,7160.884920634919
615,4.0,7.0,108.0,2097530.0,2533000.0,70.0,1147.0,82.80813264903277,35.383279117941505,55.0,4.795117698343505,0.1597171233689151,5.0,5196.202380952382,1322710.0,2200900.0,54.0,1075.0,60.09859602889727,48.43785942545584,37.0,3.441860465116279,0.1008022948326355,3.0,6873.152777777781,1902440.0,2500700.0,60.0,1161.0,76.07629863638181,59.191497416500496,39.0,3.359173126614987,0.1766148863619131,4.0,10239.696428571428
616,4.0,7.0,109.0,2128520.0,2543300.0,70.0,1147.0,83.69126725120906,38.0451345335891,55.0,4.795117698343505,0.1597171233689151,5.0,6293.138888888887,1331310.0,2215700.0,54.0,1075.0,60.08530035654647,44.969646199453635,35.0,3.255813953488372,0.1282748250141813,3.0,5882.625000000004,1792490.0,2482200.0,60.0,1161.0,72.2137619853356,56.260781460904674,41.0,3.5314384151593456,0.17788323218127336,4.0,7845.706349206346
617,4.0,7.0,110.0,2059900.0,2450300.0,70.0,1147.0,84.06725707056279,36.10382996802648,54.0,4.707933740191804,0.15100704512370333,5.0,5698.472222222219,1243030.0,2179400.0,54.0,1075.0,57.03542259337432,42.84209065026483,36.0,3.3488372093023258,0.11899574866359652,2.0,4641.569444444445,1825020.0,2451500.0,60.0,1161.0,74.44503365286559,56.72464918904542,41.0,3.5314384151593456,0.17788323218127336,4.0,7661.918650793654
618,4.0,7.0,111.0,2151110.0,2557700.0,70.0,1147.0,84.10329592993705,34.61610457660662,55.0,4.795117698343505,0.1597171233689151,5.0,6377.009920634919,1275150.0,2263600.0,54.0,1075.0,56.332832655946284,41.97101345374389,34.0,3.1627906976744184,0.13055431911948595,3.0,3748.3472222222226,1829750.0,2469500.0,60.0,1161.0,74.0939461429439,55.60222835067088,39.0,3.359173126614987,0.1840939307103398,3.0,5319.027777777781
619,4.0,7.0,112.0,2072380.0,2415200.0,70.0,1147.0,85.80573037429613,34.5855311196065,55.0,4.795117698343505,0.1597171233689151,5.0,5779.416666666664,1194940.0,2045500.0,54.0,1075.0,58.41799071131752,45.146366442078545,34.0,3.1627906976744184,0.13644692104615586,2.0,4729.055555555551,1800910.0,2356100.0,60.0,1161.0,76.43605959000043,63.00764498512426,41.0,3.5314384151593456,0.17788323218127336,4.0,9834.43452380952
