,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,410.0,3,3584,4411,4166,4111,3454,4180,11
,9350.0,5,4463,4713,3006,4890,3568,3843,30
,510.0,6,3537,4070,3282,4821,3370,4015,7
,780.0,7,3273,4715,3234,4180,4639,4957,3
,1970.0,8,3663,3036,3454,3473,4200,4951,4
,660.0,9,4111,3568,4371,3658,4154,4600,12
,12570.0,10,3282,3684,4463,4574,3747,3462,30
,450.0,11,3574,3843,4015,3584,4715,3212,2
,300.0,12,4166,3473,4070,4302,3777,4713,1
,220.0,1,4713,3234,4774,3747,4951,4200,3
,2960.0,2,3454,4892,4631,4371,3658,4957,6
,360.0,3,3462,4180,3684,4946,4166,4890,4
,11290.0,4,4302,4639,3036,3843,3537,4463,29
,230.0,5,3568,3777,4574,3234,3212,4411,1
,1790.0,6,4631,3663,4154,4713,4600,4715,3
,890.0,7,3747,4821,3370,4892,4111,4946,4
,380.0,8,3684,3273,3584,4070,4957,4774,3
,490.0,9,4574,4015,3473,3036,4890,3282,2
,4180.0,11,4070,4371,3462,4411,4302,4154,5
,260.0,12,3473,4166,4821,3568,3663,3584,1
,370.0,1,3473,4774,4180,4951,3370,3006,1
,20390.0,2,3777,4111,4892,3684,4411,3273,23
,800.0,3,4015,4890,4713,4715,4070,4821,21
,150.0,4,4166,4200,3574,3234,4631,4463,2
,1290.0,5,4154,4302,3658,3370,4946,3663,5
,260.0,6,4411,3462,3843,4600,4180,4957,1
,2590.0,7,4715,3006,3273,4639,3036,4574,16
,4280.0,8,3212,4631,3747,3454,3473,4111,12
,2220.0,9,4200,3282,4600,3777,4821,3568,20
,430.0,10,3843,3584,4302,4015,4892,4371,1
,1140.0,11,4713,4154,3212,4166,4639,3684,2
,240.0,1,4371,3036,4715,4957,4411,3234,2
,300.0,2,4154,4821,3006,4166,4774,3658,3
,270.0,3,3212,4890,4070,4892,3663,3370,2
,280.0,4,3473,4600,3747,3273,4713,4951,2
,930.0,5,4015,3584,4111,4200,3574,3036,2
,450.0,6,3777,3234,3454,3658,3843,3282,4
,730.0,7,4774,4574,4411,4631,4890,4946,6
,350.0,9,3684,4639,4892,3584,4951,3462,1
,2810.0,11,4070,3843,4713,4302,4631,4015,16
