,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,70250.0,11,3435,11.0,11.0,3994,60.0,74.0,3175,57.0,63.0,3334,12.0,60.0,4243,25.0,34.0,3604,51.0,25.0,86
,24150.0,12,3188,22.0,14.0,4304,49.0,17.0,3674,63.0,62.0,3302,2.0,73.0,3845,31.0,40.0,4556,4.0,15.0,73
,690.0,1,3576,24.0,68.0,4669,51.0,31.0,4541,42.0,11.0,3755,12.0,40.0,3831,16.0,57.0,4485,33.0,46.0,16
,16070.0,2,4022,6.0,18.0,3477,35.0,13.0,4802,17.0,26.0,4254,25.0,51.0,4273,29.0,14.0,4708,63.0,36.0,83
,990.0,3,3921,20.0,38.0,3631,39.0,63.0,3659,22.0,55.0,3643,50.0,56.0,3303,5.0,25.0,4511,10.0,52.0,1
,1540.0,4,3505,55.0,24.0,3655,45.0,17.0,3690,58.0,70.0,4402,34.0,41.0,4379,37.0,49.0,4798,44.0,54.0,13
,480.0,5,4475,11.0,48.0,3422,60.0,33.0,4251,19.0,53.0,4669,51.0,31.0,3916,48.0,42.0,4785,4.0,22.0,1
,1780.0,6,3755,12.0,40.0,4116,49.0,75.0,3563,53.0,34.0,4258,31.0,23.0,4382,8.0,74.0,4353,57.0,69.0,50
,6090.0,7,3631,39.0,63.0,4792,1.0,71.0,4273,29.0,14.0,4485,33.0,46.0,4213,47.0,47.0,4768,52.0,28.0,89
,1460.0,8,3245,54.0,73.0,4151,40.0,62.0,4511,10.0,52.0,4379,37.0,49.0,4802,17.0,26.0,3503,32.0,39.0,63
,3490.0,9,3643,50.0,56.0,4452,56.0,15.0,3655,45.0,17.0,4335,28.0,32.0,3890,2.0,60.0,4541,42.0,11.0,75
,27440.0,10,4402,34.0,41.0,4258,31.0,23.0,3916,48.0,42.0,4116,49.0,75.0,4254,25.0,51.0,3303,5.0,25.0,72
,12460.0,11,3563,53.0,34.0,3921,20.0,38.0,3245,54.0,73.0,4475,11.0,48.0,3690,58.0,70.0,4382,8.0,74.0,83
,770.0,12,3422,60.0,33.0,3576,24.0,68.0,4022,6.0,18.0,3505,55.0,24.0,3659,22.0,55.0,4335,28.0,32.0,1
,4110.0,1,3659,22.0,55.0,4353,57.0,69.0,3503,32.0,39.0,4151,40.0,62.0,4251,19.0,53.0,3477,35.0,13.0,62
,8200.0,2,4452,56.0,15.0,4802,17.0,26.0,4213,47.0,47.0,3576,24.0,68.0,4798,44.0,54.0,3655,45.0,17.0,5
,5350.0,3,4382,8.0,74.0,4541,42.0,11.0,3422,60.0,33.0,4785,4.0,22.0,3921,20.0,38.0,4273,29.0,14.0,10
,10640.0,5,3690,58.0,70.0,3505,55.0,24.0,4792,1.0,71.0,4353,57.0,69.0,4669,51.0,31.0,4251,19.0,29.0,65
,4940.0,6,3916,48.0,42.0,4402,34.0,41.0,4379,37.0,49.0,3245,54.0,73.0,4022,6.0,18.0,3563,53.0,34.0,91
,1730.0,7,3831,16.0,57.0,3503,32.0,39.0,3477,35.0,13.0,4798,44.0,54.0,4708,63.0,36.0,3755,12.0,40.0,10
,16780.0,8,3303,5.0,25.0,4785,4.0,22.0,4768,52.0,28.0,4213,47.0,47.0,4116,49.0,75.0,3643,50.0,56.0,98
,2140.0,9,4151,40.0,62.0,4254,25.0,51.0,4485,33.0,46.0,4452,56.0,15.0,4792,1.0,71.0,4258,31.0,23.0,5
,4550.0,10,3890,2.0,60.0,3690,58.0,70.0,4022,6.0,18.0,3659,22.0,55.0,3631,39.0,63.0,3245,54.0,73.0,8
,42830.0,12,3505,55.0,24.0,3303,5.0,25.0,4254,25.0,51.0,3563,53.0,34.0,3422,60.0,33.0,4475,11.0,48.0,54
,3910.0,1,4335,28.0,32.0,4708,63.0,36.0,3831,16.0,57.0,3655,45.0,17.0,3643,50.0,56.0,4802,17.0,26.0,43
,1410.0,2,3563,53.0,34.0,4485,33.0,46.0,4273,29.0,14.0,3505,55.0,24.0,4768,52.0,28.0,3916,48.0,42.0,5
,860.0,3,4258,31.0,23.0,4213,47.0,47.0,3576,24.0,68.0,4511,10.0,52.0,4402,34.0,41.0,4669,51.0,31.0,1
,910.0,4,3422,60.0,33.0,3245,54.0,73.0,3631,39.0,63.0,4254,25.0,51.0,4353,57.0,69.0,4541,42.0,11.0,6
,1670.0,6,4251,19.0,29.0,4022,6.0,18.0,4379,37.0,49.0,4475,11.0,48.0,4452,56.0,15.0,3831,16.0,57.0,28
,1340.0,7,3655,45.0,17.0,4273,29.0,14.0,3643,50.0,56.0,3916,48.0,42.0,4669,51.0,31.0,4151,40.0,62.0,21
,970.0,8,3921,20.0,16.0,3503,32.0,39.0,3690,58.0,70.0,4485,33.0,46.0,4511,10.0,52.0,3631,39.0,63.0,8
,2850.0,9,3477,35.0,13.0,4335,28.0,32.0,4402,34.0,41.0,3303,5.0,25.0,4541,42.0,11.0,3890,2.0,60.0,39
,7220.0,10,4254,25.0,51.0,4475,11.0,48.0,3659,22.0,55.0,4213,47.0,47.0,4785,4.0,22.0,4379,37.0,49.0,62
,520.0,11,4022,6.0,18.0,3563,53.0,34.0,3422,60.0,33.0,3921,20.0,16.0,4151,40.0,62.0,3690,58.0,70.0,1
,730.0,12,3576,24.0,68.0,4258,31.0,23.0,4382,8.0,74.0,3245,54.0,73.0,3505,55.0,24.0,4452,56.0,15.0,3
