,result_com,result_com_num,result_com_per,gain_mean,gain_median
93,95.0,27,0.14289494575284467,24385.925925925927,17090.0
94,96.0,41,0.21698862132839375,28232.926829268294,21420.0
95,97.0,45,0.23815824292140775,22341.11111111111,12530.0
96,98.0,21,0.11114051336332365,33795.23809523809,27780.0
97,99.0,23,0.12172532415983064,27892.608695652172,19270.0
98,100.0,23,0.12172532415983064,36973.913043478264,37120.0
99,101.0,58,0.3069595130987034,21852.58620689655,14440.0
100,102.0,41,0.21698862132839375,16135.121951219513,10390.0
101,103.0,39,0.20640381053188675,19211.79487179487,10860.0
102,104.0,23,0.12172532415983064,27586.521739130436,21260.0
103,105.0,39,0.20640381053188675,23745.128205128207,16010.0
104,106.0,29,0.1534797565493517,29414.827586206895,23250.0
105,107.0,32,0.16935697274411218,31910.0,24930.0
