racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3576,4,1,43,0.584,0.17
3577,4,1,43,0.545,0.16
3578,3,1,43,0.355,0.17
3579,4,0,43,0.453,0.14
3580,3,0,42,0.401,0.21
3581,2,1,42,0.200,0.19
3582,4,1,42,0.486,0.18
3583,2,1,42,0.171,0.19
3584,3,1,42,0.434,0.17
3585,2,1,42,0.211,0.20
3587,3,1,42,0.400,0.13
3588,2,1,42,0.203,0.20
3589,4,1,42,0.534,0.17
3590,4,1,42,0.432,0.15
3591,3,1,47,0.364,0.16
3592,2,1,47,0.252,0.20
3593,2,1,47,0.148,0.20
3594,2,1,47,0.242,0.18
3596,2,1,46,0.215,0.21
3599,1,1,45,0.041,0.19
3600,3,1,45,0.427,0.20
3601,2,1,45,0.206,0.21
3602,4,1,45,0.504,0.18
3604,2,0,45,0.220,0.20
3605,3,1,44,0.403,0.19
3606,4,1,44,0.543,0.14
3607,2,1,43,0.313,0.18
3608,2,1,43,0.176,0.18
3609,2,1,43,0.203,0.20
3611,4,0,43,0.504,0.15
3612,4,1,43,0.454,0.16
3613,4,1,43,0.595,0.13
3614,2,1,42,0.234,0.19
3615,3,1,42,0.359,0.16
3616,2,1,42,0.163,0.25
3617,2,1,42,0.182,0.21
3618,3,0,42,0.469,0.19
3619,3,1,42,0.388,0.22
3620,2,1,41,0.214,0.18
3621,4,1,41,0.469,0.17
3622,4,1,41,0.562,0.17
3623,4,1,41,0.590,0.16
3624,2,1,46,0.250,0.17
3626,2,1,46,0.126,0.15
3627,3,1,46,0.330,0.19
3628,2,1,46,0.130,0.20
3629,4,1,46,0.488,0.14
3630,2,1,46,0.269,0.16
3631,2,1,46,0.340,0.17
3632,2,1,45,0.216,0.16
3633,2,1,45,0.153,0.20
3635,4,1,45,0.563,0.15
3636,1,1,45,0.117,0.20
3637,1,1,45,0.375,0.19
3638,1,1,45,0.041,0.27
3639,2,1,45,0.220,0.18
3641,3,1,44,0.444,0.18
3642,2,1,44,0.197,0.18
3643,2,1,43,0.303,0.19
3644,2,1,43,0.227,0.18
3645,2,0,43,0.406,0.15
3647,2,1,43,0.317,0.15
3648,2,1,42,0.183,0.18
3650,2,0,42,0.232,0.19
3651,2,1,42,0.217,0.22
3652,2,1,42,0.182,0.20
3653,3,1,42,0.346,0.18
3654,4,1,42,0.469,0.19
3655,2,1,42,0.288,0.19
3656,3,1,42,0.447,0.20
3658,2,1,41,0.214,0.18
3659,4,1,41,0.427,0.17
3660,2,1,46,0.138,0.17
