,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
359,3569,2,1,44,0.194,0.18
360,3571,2,1,44,0.175,0.19
361,3572,4,1,44,0.478,0.20
362,3573,4,1,43,0.575,0.17
363,3574,4,1,43,0.562,0.16
364,3575,2,1,43,0.216,0.17
365,3576,4,1,43,0.584,0.17
366,3577,4,1,43,0.545,0.16
367,3578,3,1,43,0.355,0.17
368,3579,4,0,43,0.453,0.14
369,3580,3,0,42,0.401,0.21
370,3581,2,1,42,0.200,0.19
371,3582,4,1,42,0.486,0.18
372,3583,2,1,42,0.171,0.19
373,3584,3,1,42,0.434,0.17
374,3585,2,1,42,0.211,0.20
375,3587,3,1,42,0.400,0.13
376,3588,2,1,42,0.203,0.20
377,3589,4,1,42,0.534,0.17
378,3590,4,1,42,0.432,0.15
379,3591,3,1,47,0.364,0.16
380,3592,2,1,47,0.252,0.20
381,3593,2,1,47,0.148,0.20
382,3594,2,1,47,0.242,0.18
383,3596,2,1,46,0.215,0.21
384,3599,1,1,45,0.041,0.19
385,3600,3,1,45,0.427,0.20
386,3601,2,1,45,0.206,0.21
387,3602,4,1,45,0.504,0.18
388,3604,2,0,45,0.220,0.20
389,3605,3,1,44,0.403,0.19
390,3606,4,1,44,0.543,0.14
391,3607,2,1,43,0.313,0.18
392,3608,2,1,43,0.176,0.18
393,3609,2,1,43,0.203,0.20
394,3611,4,0,43,0.504,0.15
395,3612,4,1,43,0.454,0.16
396,3613,4,1,43,0.595,0.13
397,3614,2,1,42,0.234,0.19
398,3615,3,1,42,0.359,0.16
399,3616,2,1,42,0.163,0.25
400,3617,2,1,42,0.182,0.21
401,3618,3,0,42,0.469,0.19
402,3619,3,1,42,0.388,0.22
403,3620,2,1,41,0.214,0.18
404,3621,4,1,41,0.469,0.17
405,3622,4,1,41,0.562,0.17
406,3623,4,1,41,0.590,0.16
407,3624,2,1,46,0.250,0.17
408,3626,2,1,46,0.126,0.15
409,3627,3,1,46,0.330,0.19
410,3628,2,1,46,0.130,0.20
411,3629,4,1,46,0.488,0.14
412,3630,2,1,46,0.269,0.16
413,3631,2,1,46,0.340,0.17
414,3632,2,1,45,0.216,0.16
415,3633,2,1,45,0.153,0.20
416,3635,4,1,45,0.563,0.15
417,3636,1,1,45,0.117,0.20
418,3637,1,1,45,0.375,0.19
419,3638,1,1,45,0.041,0.27
420,3639,2,1,45,0.220,0.18
421,3641,3,1,44,0.444,0.18
422,3642,2,1,44,0.197,0.18
423,3643,2,1,43,0.303,0.19
424,3644,2,1,43,0.227,0.18
425,3645,2,0,43,0.406,0.15
426,3647,2,1,43,0.317,0.15
427,3648,2,1,42,0.183,0.18
428,3650,2,0,42,0.232,0.19
429,3651,2,1,42,0.217,0.22
430,3652,2,1,42,0.182,0.20
431,3653,3,1,42,0.346,0.18
432,3654,4,1,42,0.469,0.19
433,3655,2,1,42,0.288,0.19
434,3656,3,1,42,0.447,0.20
435,3658,2,1,41,0.214,0.18
436,3659,4,1,41,0.427,0.17
437,3660,2,1,46,0.138,0.17
438,3661,3,1,46,0.325,0.21
439,3662,4,1,46,0.479,0.16
440,3663,3,1,45,0.421,0.16
441,3664,4,1,45,0.482,0.16
442,3666,2,1,45,0.274,0.18
443,3667,1,1,44,0.000,0.00
444,3668,2,1,44,0.223,0.20
445,3670,2,1,44,0.192,0.20
446,3671,2,1,43,0.164,0.19
447,3673,2,1,43,0.196,0.24
448,3674,3,0,43,0.385,0.15
449,3675,1,1,43,0.106,0.23
450,3676,1,0,43,0.069,0.26
451,3678,2,1,42,0.191,0.18
452,3679,4,1,42,0.503,0.15
453,3680,3,1,42,0.369,0.22
454,3681,3,1,42,0.364,0.17
455,3682,2,1,42,0.207,0.19
456,3683,3,1,42,0.310,0.15
457,3684,3,1,41,0.405,0.19
458,3685,3,1,41,0.457,0.16
459,3686,3,1,40,0.446,0.14
460,3687,3,1,46,0.416,0.15
461,3688,2,1,45,0.145,0.22
462,3690,3,1,45,0.361,0.18
463,3691,2,1,45,0.276,0.17
464,3692,3,1,44,0.418,0.15
465,3693,2,0,44,0.243,0.17
466,3694,2,1,44,0.211,0.17
467,3695,2,1,44,0.173,0.21
468,3696,3,1,43,0.341,0.18
469,3697,4,1,43,0.614,0.13
470,3698,2,1,43,0.101,0.20
471,3699,3,1,43,0.433,0.18
472,3701,2,1,42,0.214,0.15
473,3702,3,1,42,0.375,0.17
474,3703,1,1,42,0.727,0.22
475,3704,3,0,42,0.323,0.19
476,3705,2,1,41,0.263,0.20
477,3707,2,0,41,0.158,0.21
478,3708,3,1,41,0.353,0.18
479,3709,2,1,41,0.180,0.19
480,3710,2,1,41,0.298,0.18
481,3711,3,1,41,0.398,0.16
482,3712,4,1,41,0.468,0.17
483,3713,4,1,41,0.479,0.15
484,3714,2,1,41,0.181,0.16
485,3715,2,1,41,0.153,0.22
486,3716,4,1,41,0.513,0.13
487,3717,4,1,40,0.519,0.15
488,3718,2,1,40,0.327,0.16
489,3719,4,1,40,0.573,0.15
490,3720,1,1,40,0.085,0.19
491,3721,4,1,40,0.702,0.12
492,3722,2,1,45,0.206,0.18
493,3723,2,1,45,0.240,0.17
494,3725,3,1,44,0.377,0.16
495,3726,3,1,44,0.414,0.16
496,3727,2,1,44,0.139,0.18
497,3729,2,1,44,0.209,0.19
498,3730,2,1,43,0.285,0.18
499,3731,4,1,42,0.485,0.18
500,3734,1,1,42,0.210,0.20
501,3736,3,1,42,0.422,0.17
502,3737,4,1,42,0.583,0.17
503,3740,3,1,41,0.443,0.16
504,3741,2,1,41,0.303,0.18
505,3742,3,1,41,0.301,0.17
506,3743,3,1,41,0.456,0.16
507,3744,4,1,41,0.451,0.14
508,3745,3,1,41,0.346,0.17
509,3746,3,1,40,0.350,0.22
510,3747,4,1,40,0.444,0.16
511,3748,1,1,40,0.068,0.19
512,3749,4,1,39,0.532,0.16
513,3750,2,1,45,0.257,0.21
514,3752,1,1,44,0.317,0.14
515,3753,2,1,44,0.185,0.19
516,3754,1,1,44,0.127,0.23
517,3755,2,1,44,0.237,0.19
518,3757,3,1,44,0.302,0.18
519,3759,2,1,43,0.348,0.19
520,3761,3,1,43,0.447,0.15
521,3762,2,1,43,0.197,0.17
522,3764,1,1,43,0.040,0.21
523,3766,1,0,42,0.000,0.23
524,3768,1,1,42,0.087,0.24
525,3769,4,1,42,0.451,0.18
526,3771,3,1,41,0.419,0.16
527,3772,2,1,41,0.230,0.16
528,3773,3,1,41,0.481,0.17
529,3775,2,1,41,0.237,0.18
530,3776,2,1,40,0.266,0.18
531,3777,4,1,40,0.493,0.17
532,3778,1,0,40,0.136,0.25
533,3779,4,1,40,0.622,0.13
534,3780,4,1,40,0.434,0.15
535,3781,2,1,39,0.216,0.19
536,3782,3,1,39,0.437,0.17
537,3783,4,1,39,0.462,0.16
538,3784,4,1,39,0.491,0.16
539,3786,2,1,44,0.177,0.20
540,3787,2,1,44,0.250,0.16
541,3788,3,1,44,0.387,0.15
542,3789,2,1,43,0.220,0.20
543,3790,3,1,43,0.369,0.18
544,3791,2,1,43,0.145,0.20
545,3792,4,1,43,0.464,0.19
546,3793,3,1,43,0.366,0.14
547,3794,2,1,42,0.197,0.17
548,3795,4,1,42,0.507,0.14
549,3796,2,1,42,0.221,0.19
550,3797,3,1,42,0.345,0.18
551,3798,3,1,42,0.465,0.19
552,3799,3,1,42,0.433,0.13
553,3800,2,1,41,0.245,0.19
554,3801,3,0,41,0.522,0.17
555,3802,3,0,41,0.379,0.16
556,3804,2,1,41,0.252,0.17
557,3805,4,1,41,0.621,0.12
558,3807,2,1,41,0.247,0.17
559,3808,2,1,40,0.271,0.14
560,3809,3,1,40,0.450,0.17
561,3811,4,1,40,0.482,0.16
562,3812,2,1,39,0.247,0.18
563,3813,3,1,39,0.408,0.19
564,3814,3,1,39,0.417,0.19
565,3815,4,1,39,0.578,0.15
566,3817,2,0,38,0.160,0.24
567,3818,2,1,44,0.204,0.15
568,3819,2,1,43,0.168,0.19
569,3820,2,1,43,0.294,0.17
570,3822,4,1,43,0.420,0.17
571,3823,2,1,43,0.333,0.17
572,3824,2,1,42,0.113,0.21
