,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
3204,7.0,5.0,141.0,0.5,22900.0,22800.0,48.0,228.0,100.43859649122804,45.1320806647799,16.0,7.017543859649122,0.4804583837764614,3.0,604.6666666666665,5190.0,11900.0,25.0,119.0,43.61344537815126,20.13131516609975,6.0,5.042016806722689,0.8403361344537815,0.0,-52.22222222222217
3205,7.0,5.0,141.0,0.54,17370.0,15800.0,48.0,158.0,109.9367088607595,74.26157964939357,11.0,6.962025316455696,0.5295316623633389,2.0,550.6666666666667,2710.0,8500.0,25.0,85.0,31.88235294117647,21.15638627098743,3.0,3.5294117647058822,0.0,0.0,0.0
3208,7.0,5.0,142.0,0.54,17970.0,15700.0,48.0,157.0,114.45859872611466,68.57474864054306,12.0,7.643312101910828,0.3488678710223987,2.0,550.6666666666667,2710.0,8800.0,25.0,88.0,30.795454545454547,20.71329539137551,3.0,3.4090909090909087,0.0,0.0,0.0
3211,7.0,5.0,143.0,0.54,17370.0,15200.0,48.0,152.0,114.27631578947368,75.47579590816402,11.0,7.236842105263158,0.5504342279829445,2.0,550.6666666666667,2710.0,8500.0,25.0,85.0,31.88235294117647,21.15638627098743,3.0,3.5294117647058822,0.0,0.0,0.0
3214,7.0,5.0,144.0,0.54,17970.0,15900.0,48.0,159.0,113.01886792452832,66.3344545040084,12.0,7.547169811320755,0.3444795959151988,2.0,550.6666666666667,2710.0,8500.0,25.0,85.0,31.88235294117647,20.193550154488584,3.0,3.5294117647058822,0.0,0.0,0.0
3217,7.0,5.0,145.0,0.54,17970.0,15400.0,48.0,154.0,116.68831168831169,69.12457115796555,12.0,7.792207792207792,0.355663998379978,2.0,550.6666666666667,2710.0,8300.0,25.0,83.0,32.65060240963855,21.88201785834225,3.0,3.614457831325301,0.0,0.0,0.0
3220,7.0,5.0,146.0,0.54,16830.0,15300.0,48.0,153.0,110.0,75.32181999185998,11.0,7.18954248366013,0.5468366186497226,2.0,550.6666666666667,2710.0,8200.0,25.0,82.0,33.04878048780488,23.373042123414105,3.0,3.658536585365853,0.0,0.0,0.0
3223,7.0,5.0,147.0,0.54,16040.0,14800.0,48.0,148.0,108.3783783783784,66.37986200890172,10.0,6.756756756756757,0.4777748521530727,2.0,380.66666666666674,2710.0,8200.0,25.0,82.0,33.04878048780488,22.935777650412465,3.0,3.658536585365853,0.0,0.0,0.0
3226,7.0,5.0,148.0,0.54,16040.0,14400.0,48.0,144.0,111.38888888888889,68.1605379526026,10.0,6.944444444444445,0.4910463758239912,2.0,380.66666666666674,2710.0,7800.0,25.0,78.0,34.743589743589745,23.983645954801347,3.0,3.8461538461538463,0.0,0.0,0.0
3229,7.0,5.0,149.0,0.54,16040.0,14100.0,48.0,141.0,113.75886524822695,65.48801685230954,10.0,7.092198581560284,0.501494171054289,2.0,380.66666666666674,2710.0,7900.0,25.0,79.0,34.30379746835443,24.183406549201514,3.0,3.79746835443038,0.0,0.0,0.0
3235,7.0,5.0,151.0,0.54,16230.0,13900.0,48.0,139.0,116.76258992805757,82.24715183250633,10.0,7.194244604316546,0.7194244604316545,2.0,550.6666666666667,2710.0,7900.0,25.0,79.0,34.30379746835443,24.183406549201514,3.0,3.79746835443038,0.0,0.0,0.0
3238,7.0,5.0,152.0,0.54,16230.0,13300.0,48.0,133.0,122.03007518796991,85.18421355747337,10.0,7.518796992481203,0.7518796992481201,2.0,550.6666666666667,2330.0,7700.0,25.0,77.0,30.25974025974026,31.6982775748048,2.0,2.5974025974025974,0.7498055444021113,0.0,0.0
3240,7.0,5.0,153.0,0.5,18390.0,18100.0,48.0,181.0,101.60220994475138,62.53373022052209,13.0,7.18232044198895,0.4941586690607269,2.0,466.5,3720.0,9300.0,25.0,93.0,40.0,34.2615608032994,4.0,4.301075268817205,0.6208067410641138,0.0,0.0
3241,7.0,5.0,153.0,0.54,16230.0,13200.0,48.0,132.0,122.95454545454544,90.03818203919292,10.0,7.575757575757576,0.7575757575757576,2.0,550.6666666666667,2330.0,7200.0,25.0,72.0,32.361111111111114,32.531443478807006,2.0,2.7777777777777777,0.8018753738744803,0.0,0.0
3243,7.0,5.0,154.0,0.5,18390.0,17400.0,48.0,174.0,105.6896551724138,61.82534636308229,13.0,7.471264367816093,0.514038615517193,2.0,466.5,2710.0,9700.0,25.0,97.0,27.938144329896907,17.057182098322475,3.0,3.0927835051546397,0.0,0.0,0.0
3246,7.0,5.0,155.0,0.5,18390.0,17300.0,48.0,173.0,106.30057803468208,60.39057049574507,13.0,7.514450867052023,0.517009936994171,2.0,466.5,2710.0,9300.0,25.0,93.0,29.13978494623656,18.69756707463012,3.0,3.225806451612903,0.0,0.0,0.0
3249,7.0,5.0,156.0,0.5,17790.0,17000.0,48.0,170.0,104.6470588235294,66.81164318168305,12.0,7.0588235294117645,0.6706914265289047,2.0,466.5,2710.0,9400.0,25.0,94.0,28.829787234042552,18.244804141532374,3.0,3.191489361702128,0.0,0.0,0.0
3250,7.0,5.0,156.0,0.54,16230.0,13100.0,48.0,131.0,123.89312977099236,88.05610136042242,10.0,7.633587786259542,0.7633587786259541,2.0,550.6666666666667,2330.0,7200.0,25.0,72.0,32.361111111111114,32.924577108564016,2.0,2.7777777777777777,0.8018753738744803,0.0,0.0
