,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
1399,3.0,7.0,127.0,0.54,52840.0,24000.0,45.0,240.0,220.16666666666663,156.66629826285947,13.0,5.416666666666667,0.6972166887783963,3.0,-262.5,2470.0,12200.0,14.0,122.0,20.245901639344265,20.729502009096404,3.0,2.459016393442623,0.819672131147541,0.0,0.0
1400,3.0,7.0,127.0,0.58,46630.0,17500.0,45.0,175.0,266.45714285714286,194.5057458253548,10.0,5.714285714285714,0.6998542122237652,4.0,40.66666666666652,660.0,7400.0,14.0,74.0,8.91891891891892,14.113006580190854,1.0,1.351351351351351,0.7802030664724672,0.0,0.0
1401,3.0,7.0,128.0,0.5,69790.0,32200.0,45.0,322.0,216.7391304347826,140.91906920151334,18.0,5.590062111801243,0.6053909530937245,3.0,318.6666666666665,2470.0,16700.0,14.0,167.0,14.790419161676644,16.433086853583386,3.0,1.7964071856287425,0.5988023952095809,0.0,0.0
1402,3.0,7.0,128.0,0.54,61610.0,23800.0,45.0,238.0,258.8655462184874,203.84416276896056,14.0,5.88235294117647,0.8082094143559388,3.0,-251.4000000000001,1770.0,11700.0,14.0,117.0,15.128205128205128,13.037765321847246,2.0,1.7094017094017095,0.4934617685381418,0.0,0.0
1403,3.0,7.0,128.0,0.58,46630.0,16300.0,45.0,163.0,286.07361963190186,208.8234593823152,10.0,6.134969325153374,0.7513772217126313,4.0,40.66666666666652,660.0,7400.0,14.0,74.0,8.91891891891892,13.60897063089832,1.0,1.351351351351351,0.7802030664724672,0.0,0.0
1404,3.0,7.0,129.0,0.5,72650.0,31000.0,45.0,310.0,234.35483870967744,138.16395572587462,20.0,6.451612903225806,0.6451612903225805,4.0,287.2380952380945,2470.0,16400.0,14.0,164.0,15.060975609756095,16.41391134168625,3.0,1.829268292682927,0.6097560975609756,0.0,0.0
1405,3.0,7.0,129.0,0.54,61430.0,23500.0,45.0,235.0,261.40425531914894,200.63715888992067,14.0,5.957446808510639,0.8185269813477167,4.0,17.0,1360.0,11900.0,14.0,119.0,11.428571428571429,9.265682956935024,2.0,1.680672268907563,0.4851682934366603,0.0,0.0
1406,3.0,7.0,129.0,0.58,38280.0,15800.0,45.0,158.0,242.27848101265823,163.49629056297923,9.0,5.69620253164557,0.6933196930445141,4.0,70.66666666666652,660.0,7100.0,14.0,71.0,9.295774647887324,14.655814525582803,1.0,1.4084507042253522,0.8131693932248251,0.0,0.0
1407,3.0,7.0,130.0,0.5,68990.0,31100.0,45.0,311.0,221.83279742765276,143.20183694443423,17.0,5.466237942122187,0.5380450331408846,3.0,430.2666666666664,2470.0,16400.0,14.0,164.0,15.060975609756095,16.069958373364834,3.0,1.829268292682927,0.6097560975609756,0.0,0.0
1408,3.0,7.0,130.0,0.54,50980.0,23600.0,45.0,236.0,216.0169491525424,152.7882624852427,12.0,5.084745762711865,0.6426165630552162,3.0,-55.0,2470.0,11500.0,14.0,115.0,21.47826086956521,21.743796953873478,3.0,2.608695652173913,0.8695652173913043,0.0,0.0
1409,3.0,7.0,130.0,0.58,37400.0,15500.0,45.0,155.0,241.2903225806452,170.67039901982642,8.0,5.161290322580645,0.577049800645107,4.0,0.0,660.0,7100.0,14.0,71.0,9.295774647887324,14.655814525582803,1.0,1.4084507042253522,0.8131693932248251,0.0,0.0
1410,3.0,7.0,131.0,0.5,70600.0,31300.0,45.0,313.0,225.55910543130992,145.62998519887438,18.0,5.7507987220447285,0.6227983606906686,3.0,345.6666666666665,2470.0,16300.0,14.0,163.0,15.153374233128837,16.394794725963038,3.0,1.8404907975460123,0.6134969325153374,0.0,0.0
1411,3.0,7.0,131.0,0.54,52660.0,22700.0,45.0,227.0,231.98237885462555,166.6798690432368,13.0,5.726872246696035,0.8002600054883239,3.0,10.0,1360.0,11000.0,14.0,110.0,12.363636363636363,10.230425568070975,2.0,1.818181818181818,0.524863881081478,0.0,0.0
1412,3.0,7.0,131.0,0.58,37400.0,15400.0,45.0,154.0,242.85714285714283,174.23345261419018,8.0,5.194805194805195,0.5807968772726727,4.0,0.0,0.0,6800.0,14.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,3.0,7.0,132.0,0.5,65830.0,30400.0,45.0,304.0,216.54605263157896,160.65979834364515,17.0,5.592105263157895,0.5504342279829444,3.0,430.2666666666664,2470.0,16100.0,14.0,161.0,15.341614906832298,16.37578137329506,3.0,1.8633540372670807,0.6211180124223602,0.0,0.0
1414,3.0,7.0,132.0,0.54,52660.0,22000.0,45.0,220.0,239.36363636363637,169.78224253451015,13.0,5.909090909090909,0.8257228238447705,4.0,10.0,1360.0,11400.0,14.0,114.0,11.929824561403509,9.346768847202634,2.0,1.7543859649122806,0.5064476045523033,0.0,0.0
1416,3.0,7.0,133.0,0.5,66190.0,29800.0,45.0,298.0,222.1140939597316,170.1764722800721,17.0,5.704697986577181,0.7725412371289488,3.0,345.6666666666665,2470.0,16000.0,14.0,160.0,15.437500000000002,17.367853262527806,3.0,1.875,0.625,0.0,0.0
1417,3.0,7.0,133.0,0.54,50980.0,21500.0,45.0,215.0,237.11627906976744,164.3240921798082,12.0,5.5813953488372094,0.7053837622373536,4.0,-55.0,1360.0,10800.0,14.0,108.0,12.592592592592592,10.199307740820233,2.0,1.851851851851852,0.5345835825829868,0.0,0.0
1418,3.0,7.0,133.0,0.58,37400.0,14900.0,45.0,149.0,251.006711409396,173.91244671458148,8.0,5.369127516778524,0.6002867053690711,4.0,0.0,0.0,6200.0,14.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1419,3.0,7.0,134.0,0.5,64580.0,29600.0,45.0,296.0,218.17567567567568,168.16352074230642,16.0,5.405405405405405,0.6923615382405134,3.0,430.2666666666664,2470.0,15100.0,14.0,151.0,16.357615894039736,16.98301957303281,3.0,1.9867549668874172,0.6622516556291391,0.0,0.0
1420,3.0,7.0,134.0,0.54,50980.0,21100.0,45.0,211.0,241.61137440758296,165.34559975070098,12.0,5.687203791469194,0.7187559662608105,4.0,-55.0,660.0,10200.0,14.0,102.0,6.470588235294119,10.887176504718658,1.0,0.9803921568627452,0.5660296756761036,0.0,0.0
