,pred_proba,trans_result,pred,money,true_result,hit,gain
14880,0.2516686,0,0.0,1140.0,18,0.0,0.0
14881,0.99928707,0,1.0,640.0,3,0.0,0.0
14882,0.54397875,0,0.0,1480.0,11,0.0,0.0
14883,0.004570427,0,0.0,1850.0,10,0.0,0.0
14884,0.12684524,0,0.0,5070.0,23,0.0,0.0
14885,0.0018565252,0,0.0,8880.0,23,0.0,0.0
14886,0.009789398,0,0.0,1040.0,11,0.0,0.0
14887,0.007659475,0,0.0,800.0,1,0.0,0.0
14888,0.0075392844,0,0.0,10850.0,33,0.0,0.0
14889,0.0005567354,0,0.0,7340.0,102,0.0,0.0
14890,3.489467e-05,0,0.0,1390.0,21,0.0,0.0
14891,0.038373243,0,0.0,2960.0,109,0.0,0.0
14892,0.99998236,0,1.0,1820.0,7,0.0,0.0
14893,0.9649625,0,1.0,2100.0,5,0.0,0.0
14894,0.12101403,0,0.0,13520.0,51,0.0,0.0
14895,0.34475857,0,0.0,1560.0,4,0.0,0.0
14896,0.011186472,0,0.0,1160.0,5,0.0,0.0
14897,0.51264936,0,0.0,6270.0,71,0.0,0.0
14898,0.5051763,0,0.0,3540.0,94,0.0,0.0
14899,7.9958736e-05,0,0.0,2250.0,9,0.0,0.0
14900,0.9876078,0,1.0,4430.0,27,0.0,0.0
14901,1.1995696e-05,0,0.0,8500.0,102,0.0,0.0
14902,0.9996742,0,1.0,4050.0,8,0.0,0.0
14903,0.9949516,0,1.0,1020.0,2,0.0,0.0
14904,7.190359e-05,0,0.0,690.0,5,0.0,0.0
14905,0.0001934139,0,0.0,4410.0,77,0.0,0.0
14906,0.94476736,0,1.0,5570.0,49,0.0,0.0
14907,0.28584385,1,0.0,3120.0,13,0.0,0.0
14908,0.8924075,0,1.0,4360.0,64,0.0,0.0
14909,7.400218e-05,0,0.0,6790.0,8,0.0,0.0
14910,0.043459274,0,0.0,3000.0,45,0.0,0.0
14911,0.012423276,0,0.0,3310.0,66,0.0,0.0
14912,0.75664914,0,0.0,1200.0,7,0.0,0.0
14913,0.9973738,0,1.0,430.0,2,0.0,0.0
14914,0.98609227,0,1.0,38860.0,95,0.0,0.0
14915,0.0742386,0,0.0,90580.0,111,0.0,0.0
14916,0.9979032,0,1.0,1580.0,10,0.0,0.0
14917,0.40860406,0,0.0,38020.0,99,0.0,0.0
14918,0.13406834,0,0.0,1880.0,10,0.0,0.0
14919,0.003320518,0,0.0,15970.0,47,0.0,0.0
14920,0.024456372,0,0.0,43770.0,118,0.0,0.0
14921,0.0005153831,0,0.0,8020.0,20,0.0,0.0
14922,0.002753614,0,0.0,9640.0,91,0.0,0.0
14923,0.009227196,0,0.0,3470.0,3,0.0,0.0
14924,0.0014676263,0,0.0,8860.0,61,0.0,0.0
14925,0.0003347793,0,0.0,1050.0,22,0.0,0.0
14926,0.30536565,0,0.0,5540.0,84,0.0,0.0
14927,0.95500195,0,1.0,750.0,1,0.0,0.0
14928,0.8064952,1,0.0,5260.0,13,0.0,0.0
14929,0.0040089814,0,0.0,590.0,1,0.0,0.0
14930,0.26060256,0,0.0,8630.0,16,0.0,0.0
14931,7.122164e-05,0,0.0,2270.0,10,0.0,0.0
14932,7.627176e-05,0,0.0,2570.0,5,0.0,0.0
14933,0.6254426,0,0.0,2350.0,113,0.0,0.0
14934,0.007154184,0,0.0,1790.0,70,0.0,0.0
14935,0.14347132,0,0.0,1060.0,2,0.0,0.0
14936,0.98583734,0,1.0,670.0,10,0.0,0.0
14937,0.94009316,0,1.0,670.0,4,0.0,0.0
14938,0.89772606,0,1.0,640.0,14,0.0,0.0
14939,0.00017577808,0,0.0,1440.0,4,0.0,0.0
14940,0.19289547,0,0.0,7470.0,11,0.0,0.0
14941,0.8949507,0,1.0,1320.0,8,0.0,0.0
14942,0.0006632705,0,0.0,580.0,2,0.0,0.0
14943,0.05380931,0,0.0,1630.0,79,0.0,0.0
14944,0.00036119178,0,0.0,1390.0,6,0.0,0.0
