racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3537,2,1,49,0.203,0.20
3538,4,1,49,0.438,0.19
3539,2,1,49,0.238,0.18
3540,2,1,49,0.166,0.20
3541,4,1,49,0.516,0.13
3542,2,1,49,0.293,0.19
3543,4,1,49,0.471,0.15
3544,2,1,49,0.292,0.20
3546,3,1,48,0.373,0.17
3548,4,1,47,0.507,0.11
3550,3,1,46,0.395,0.17
3551,2,0,46,0.193,0.20
3552,3,1,46,0.383,0.17
3553,3,1,45,0.329,0.19
3554,4,1,45,0.500,0.19
3555,4,1,45,0.496,0.16
3556,4,1,45,0.510,0.14
3557,3,1,44,0.469,0.16
3558,3,1,44,0.411,0.15
3559,2,1,49,0.308,0.17
3560,2,1,49,0.250,0.18
3561,2,1,49,0.222,0.19
3562,4,1,48,0.544,0.15
3563,3,1,48,0.436,0.18
3564,2,1,47,0.311,0.14
3565,2,1,47,0.168,0.20
3566,3,1,47,0.341,0.20
3567,2,1,47,0.156,0.18
3568,3,1,46,0.439,0.16
3569,2,1,46,0.178,0.20
3571,2,1,46,0.186,0.17
3572,4,1,46,0.480,0.20
3573,4,1,45,0.591,0.15
3574,4,1,45,0.463,0.19
3575,2,1,45,0.247,0.15
3576,4,1,45,0.564,0.16
3577,3,1,45,0.464,0.14
3578,3,1,45,0.406,0.19
3579,3,0,45,0.391,0.17
3580,3,0,44,0.405,0.17
3581,2,1,44,0.285,0.18
3582,4,1,44,0.639,0.16
3583,2,1,44,0.260,0.17
3584,3,1,44,0.445,0.16
3585,2,1,44,0.297,0.21
3587,2,1,44,0.250,0.15
3588,2,1,44,0.336,0.19
3589,4,1,44,0.470,0.15
3590,4,1,44,0.431,0.16
3591,2,1,49,0.312,0.16
3592,2,1,49,0.244,0.16
3593,2,1,49,0.327,0.17
3594,2,1,49,0.141,0.18
3596,2,1,48,0.213,0.17
3600,2,1,47,0.343,0.21
3601,2,1,47,0.181,0.19
3602,3,1,47,0.375,0.17
3604,2,0,47,0.333,0.19
3605,3,1,46,0.352,0.19
3606,4,1,46,0.531,0.14
3607,2,1,45,0.294,0.18
3608,2,1,45,0.179,0.19
3609,2,1,45,0.103,0.20
3611,3,0,45,0.404,0.18
3612,4,1,45,0.581,0.15
3613,4,1,45,0.656,0.14
3614,2,1,44,0.298,0.17
3615,3,1,44,0.378,0.15
3616,3,1,44,0.370,0.17
3617,2,1,44,0.175,0.19
3618,4,0,44,0.566,0.18
3619,3,1,44,0.338,0.21
3620,3,1,43,0.336,0.18
3621,4,1,43,0.538,0.16
3622,4,1,43,0.407,0.17
3623,4,1,43,0.513,0.17
3624,2,1,48,0.250,0.17
3626,2,1,48,0.113,0.15
3627,2,1,48,0.344,0.19
3628,2,1,48,0.181,0.20
3629,4,1,48,0.480,0.14
3630,2,1,48,0.213,0.17
3631,3,1,48,0.320,0.17
3632,2,1,47,0.111,0.17
3633,1,1,47,0.104,0.22
3635,4,1,47,0.483,0.15
3636,2,1,47,0.222,0.17
3637,2,1,47,0.258,0.19
3641,3,1,46,0.446,0.17
3642,2,1,46,0.150,0.20
3643,2,1,45,0.343,0.19
3644,2,1,45,0.234,0.20
3645,3,0,45,0.368,0.14
3647,2,1,45,0.336,0.15
3648,2,1,44,0.207,0.18
3652,2,1,44,0.217,0.18
3653,2,1,44,0.312,0.20
3654,4,1,44,0.496,0.17
3655,2,1,44,0.327,0.19
3656,4,1,44,0.446,0.15
3658,2,1,43,0.178,0.18
3659,3,1,43,0.426,0.17
3660,2,1,48,0.259,0.19
3661,2,1,48,0.272,0.21
3662,2,1,48,0.340,0.17
3663,3,1,47,0.395,0.17
3664,2,1,47,0.362,0.19
3666,2,1,47,0.296,0.17
3668,2,1,46,0.173,0.22
3670,2,1,46,0.179,0.18
3673,2,1,45,0.218,0.22
3674,4,0,45,0.554,0.15
3679,4,1,44,0.570,0.17
3680,2,1,44,0.319,0.20
3681,2,1,44,0.285,0.18
3682,2,1,44,0.254,0.16
3683,2,1,44,0.346,0.14
3684,4,1,43,0.433,0.18
3685,3,1,43,0.401,0.17
3686,4,1,42,0.493,0.15
3687,3,1,48,0.351,0.17
3690,3,1,47,0.366,0.17
3691,2,1,47,0.175,0.17
3692,2,1,46,0.299,0.16
3693,2,0,46,0.287,0.18
3694,2,1,46,0.242,0.15
3695,2,1,46,0.150,0.19
3696,2,1,45,0.357,0.19
3697,3,1,45,0.448,0.16
3698,2,1,45,0.155,0.18
3699,3,1,45,0.396,0.17
3701,2,1,44,0.250,0.15
3702,2,1,44,0.305,0.16
3703,4,1,44,0.592,0.18
3704,2,0,44,0.226,0.20
3705,2,1,43,0.315,0.18
3708,3,1,43,0.355,0.18
3709,2,1,43,0.250,0.18
3710,2,1,43,0.275,0.17
3711,3,1,43,0.440,0.17
3712,3,1,43,0.471,0.17
3713,4,1,43,0.493,0.15
3714,2,1,43,0.255,0.16
3715,2,1,43,0.308,0.16
3716,4,1,43,0.490,0.13
3717,4,1,42,0.487,0.15
3718,2,1,42,0.268,0.19
3719,4,1,42,0.540,0.16
3721,4,1,42,0.535,0.12
3722,2,1,47,0.130,0.18
3723,2,1,47,0.160,0.18
3725,3,1,46,0.352,0.19
3726,3,1,46,0.402,0.17
3729,2,1,46,0.160,0.19
3730,3,1,45,0.376,0.19
3731,3,1,44,0.470,0.18
3734,2,1,44,0.322,0.16
3736,3,1,44,0.325,0.19
3737,4,1,44,0.500,0.17
3740,3,1,43,0.383,0.16
3741,2,1,43,0.224,0.19
3742,3,1,43,0.333,0.17
3743,4,1,43,0.576,0.14
3744,4,1,43,0.511,0.13
3745,3,1,43,0.340,0.15
3746,3,1,42,0.350,0.18
3747,2,1,42,0.284,0.17
3748,2,1,42,0.207,0.15
3750,2,1,47,0.137,0.20
3752,3,1,46,0.368,0.17
3753,2,1,46,0.263,0.18
3755,2,1,46,0.239,0.19
3757,3,1,46,0.407,0.17
3759,2,1,45,0.215,0.19
3761,3,1,45,0.425,0.18
3762,2,1,45,0.198,0.17
3769,3,1,44,0.393,0.17
3771,3,1,43,0.394,0.14
3772,2,1,43,0.216,0.17
3773,2,1,43,0.284,0.17
3775,2,1,43,0.293,0.16
3776,2,1,42,0.295,0.18
3777,4,1,42,0.521,0.16
3778,2,0,42,0.178,0.21
3779,4,1,42,0.503,0.12
3780,4,1,42,0.600,0.14
3781,2,1,41,0.301,0.16
3782,3,1,41,0.430,0.16
3783,3,1,41,0.705,0.18
3784,3,1,41,0.406,0.17
3787,2,1,46,0.275,0.18
3788,3,1,46,0.394,0.16
3789,2,1,45,0.096,0.20
3790,2,1,45,0.234,0.17
3791,2,1,45,0.213,0.20
3792,4,1,45,0.578,0.18
3793,2,1,45,0.264,0.20
3794,2,1,44,0.200,0.20
3795,3,1,44,0.628,0.16
3796,2,1,44,0.287,0.19
3797,2,1,44,0.298,0.18
3798,2,1,44,0.150,0.20
3799,4,1,44,0.486,0.14
3800,3,1,43,0.376,0.16
3801,4,0,43,0.515,0.15
3802,3,0,43,0.366,0.17
3804,3,1,43,0.420,0.18
3805,4,1,43,0.475,0.12
3807,3,1,43,0.325,0.16
3808,3,1,42,0.360,0.14
3809,3,1,42,0.431,0.18
3811,4,1,42,0.503,0.15
3812,2,1,41,0.168,0.16
3813,4,1,41,0.445,0.17
3814,2,1,41,0.285,0.18
3815,4,1,41,0.447,0.16
3817,2,0,40,0.218,0.20
3818,2,1,46,0.162,0.15
3819,2,1,45,0.135,0.17
3820,2,1,45,0.161,0.15
3822,4,1,45,0.500,0.17
3823,2,1,45,0.288,0.18
3824,2,1,44,0.142,0.20
3825,2,1,44,0.260,0.15
3826,4,1,44,0.490,0.18
3827,2,1,44,0.185,0.16
3828,4,1,44,0.417,0.18
3829,2,1,44,0.154,0.17
3830,1,1,43,0.087,0.18
3831,3,1,43,0.360,0.13
3832,3,1,43,0.377,0.14
3833,4,1,43,0.506,0.13
3834,3,1,43,0.403,0.20
3835,2,1,42,0.162,0.23
3837,3,1,42,0.359,0.18
3838,4,1,42,0.503,0.14
3839,2,1,42,0.325,0.16
3841,4,1,41,0.500,0.14
3842,4,1,41,0.485,0.17
3843,3,1,41,0.404,0.17
3845,4,0,41,0.568,0.18
3846,2,1,41,0.137,0.16
3847,2,1,40,0.226,0.16
3848,3,1,40,0.358,0.16
3849,4,1,40,0.537,0.13
3850,2,1,45,0.305,0.16
3851,2,1,45,0.184,0.16
3852,2,1,45,0.290,0.15
3853,4,1,45,0.496,0.17
3854,4,1,45,0.573,0.14
